KEGG	S8.4.Gut	S8.5.Gut	S8.2.Gut	S8.3.Gut	S9.80.Gut	S9.79.Gut	S9.77.Gut	S9.78.Gut	S9.76.Gut	S10.54.Gut	S10.55.Gut	S10.52.Gut	S10.53.Gut	S10.51.Gut	S11.104.Gut	S11.105.Gut	S11.101.Gut	S11.103.Gut	S11.102.Gut	S12.28.Gut	S12.26.Gut	S12.27.Gut	S12.29.Gut	S12.30.Gut	S13.83.Gut	S13.81.Gut	S13.85.Gut	S13.82.Gut	S13.84.Gut	S14.8.Gut	S14.7.Gut	S14.10.Gut	S14.9.Gut	S14.6.Gut	S15.106.Gut	S15.109.Gut	S15.108.Gut	S15.107.Gut	S15.110.Gut	S16.32.Gut	S16.35.Gut	S16.34.Gut	S16.31.Gut	S16.33.Gut	S17.88.Gut	S17.87.Gut	S17.89.Gut	S17.90.Gut	S17.86.Gut	S18.15.Gut	S18.14.Gut	S18.13.Gut	S18.11.Gut	S18.12.Gut	S19.38.Gut	S19.39.Gut	S19.37.Gut	S19.40.Gut	S19.36.Gut	S20.91.Gut	S20.93.Gut	S20.92.Gut	S20.94.Gut	S20.95.Gut	S21.59.Gut	S21.60.Gut	S21.56.Gut	S21.57.Gut	S21.58.Gut	S22.111.Gut	S22.113.Gut	S22.112.Gut	S22.115.Gut	S22.114.Gut	S23.45.Gut	S23.43.Gut	S23.42.Gut	S23.41.Gut	S23.44.Gut	S24.19.Gut	S24.18.Gut	S24.17.Gut	S24.20.Gut	S24.16.Gut	S25.117.Gut	S25.116.Gut	S25.118.Gut	S25.120.Gut	S25.119.Gut	S26.49.Gut	S26.47.Gut	S26.48.Gut	S26.50.Gut	S26.46.Gut	S27.97.Gut	S27.96.Gut	S27.100.Gut	S27.99.Gut	S27.98.Gut	S28.65.Gut	S28.64.Gut	S28.62.Gut	S28.61.Gut	S28.63.Gut	S29.23.Gut	S29.22.Gut	S29.24.Gut	S29.21.Gut	S29.25.Gut	S30.70.Gut	S30.68.Gut	S30.69.Gut	S30.66.Gut	S30.67.Gut	S31.122.Gut	S31.124.Gut	S31.125.Gut	S31.123.Gut	S31.121.Gut	S32.71.Gut	S32.73.Gut	S32.72.Gut	S32.75.Gut	S32.74.Gut
ko05340	14007.5	13825.5	17289.25	18899.98	14551.12	24694.26	29840.9	47345.97	31659.48	9142.28	11573.7	13183.52	20174.22	9443.69	11839.41	6016.27	11392.36	10916.82	7859.92	10561.18	17872.05	13344.33	8094.5	19029.03	8898.09	7015.27	7948.47	8664.03	10219.8	13859.34	12678.81	11008.35	15385.96	10285.35	10563.44	10137.71	7876.19	7987.95	8574.74	12542.19	12185.53	19540.74	15430.03	13300.88	13751.01	13978.75	15666	13061.24	11560	10810.48	11090.86	15338.37	9758.5	10786.75	15504.66	14869.58	14546.74	18553.36	16676.65	22766.69	14325.22	14058.14	16114.4	17731.03	12419.42	10507	11478	10574.18	10283.25	14845.98	19048.75	13007.61	12701.54	12897.87	14079.5	17789	14782.78	12289.8	15347.75	10108	16591.24	18024.75	10639.51	10971.17	10406.17	12625.12	8585.03	12716.18	14997.3	9122.23	12839.56	6699.05	13370.48	8121.23	5786.27	5584.15	4914.3	6144.56	14047.85	16108.63	8439.75	10193.81	6477.29	7085.76	15734.99	18529.54	30138.24	6817.92	16411.76	31203.09	9537.69	14436.47	9513	5841.28	5233.4	10618.25	9747.78	11153.64	12613.99	14757.32	14790.25	8609.86	7553.47	7883.54
ko00564	110302.94	108900.72	132540.22	146341.42	108833.22	317690.57	420163.9	704990.94	439895.35	94076.61	113048.08	105806.68	156090.69	78098.05	93370.8	49227.12	84644.18	86893.92	62462.3	82243.64	137004.9	103387.18	66190.08	148988.83	78679.7	70581.89	65005.3	74688.27	85647.96	126464.26	98155.5	85953.1	136154.67	82501.15	80925.15	76740.66	60774.12	64625.84	72691.02	110489.58	97919.72	156294.15	122378.72	108279.49	102894.57	105999.28	117936.28	97898.93	86014.72	80915.61	82627.27	115023.28	73109.48	83029	122804.66	111925.54	108735.43	141019.76	123183.1	168134.74	107393.75	113876.08	120642.92	132945.14	97735.38	90202.66	89824.5	89472.18	80711.5	110594.21	141008	97091.18	93762.34	96230.69	107232	133854.5	110508.72	92459.32	115509.5	80627.5	127262.93	139162	83874.57	85233.49	89036.71	103194.57	69191.99	106206.67	122299.19	69312.86	87734.88	52551.5	111142.64	62980.81	46232.03	55266.21	55034.42	54371.35	100037.55	135902.76	65282.29	85281.66	54490.56	54447.1	121659.79	151672.67	239196.36	53570.29	135223.57	280623.49	84633.24	124194.07	76179.78	48571.96	45831.62	84650.87	90072.36	81464.67	123928.97	105319.81	123736.19	68135.3	83516.79	58946.18
ko00680	147043.18	143767.09	171467.59	186875.44	147673.38	475857.94	628127.71	1054065.59	660205.95	131674.33	158075.65	152002.85	225631.36	100547.49	132533.77	70570.64	109150.4	132387.96	88284.31	119247.09	191958.5	151662	94587.29	203203.46	114108.51	113379.55	99801.48	109157.07	136191.13	179514.6	142404.35	130324.34	191551.69	112145.12	110160.22	105996.86	89616.84	87796.94	100209.5	156564.32	132748.74	216426.65	163707.74	148708.02	130694.94	143975.91	153398.91	124725.06	108321.09	108260.12	105315.47	155016.27	95758.14	112030.26	155018.13	143134.2	137820.56	174754.19	154691.8	208535.9	143187.82	152026.72	157687.73	167658.7	117768.07	108780.52	115826	127083.96	103766.5	140571.89	177477.25	122644.4	123567.88	119169.78	144693	175615.5	141368.49	123145.71	154074.5	115458	167549.56	184082	115337.44	111496.76	109296.4	135482.95	106616.73	144877.1	155179.02	95963.12	123826.48	81148.17	162569.03	87035.82	66661.53	84824.29	86053.81	77127.52	152416.83	207694.71	98580.58	113447.07	74650.85	80150.9	164287.01	215314.51	380377.52	77442.6	225500.24	411114.1	94025.29	145790.98	108482.66	68616.62	60324.81	122071.06	110585.79	116395.25	201205.38	148644.79	148050.19	100486.04	126634.68	82612.48
ko00562	25747.52	25335.01	31054.76	33138.62	25295	84050.43	111753.62	187251.38	116248.22	25652.49	36589.55	21360.36	34078.16	15983.4	17411.69	11128.04	19273.73	17303.26	10749.07	18196.95	32433.9	26634.28	16102.67	34085.73	15201.94	14603.79	14864.65	15564.61	18020.38	23481.21	22307.82	17604.75	23905.32	19243.64	19624.53	16329.87	15489.88	16405.32	18528.55	32014.14	23689.53	37078.58	28076.03	25133.08	24149.68	26419.24	28823.99	22875.57	20312.01	18892.14	19438.83	27090.67	17314.12	21083.2	25241.1	25759.69	24666.07	31967.9	28309.75	38154.06	25780.74	28579.56	27867.88	29951.79	20367.59	18470.39	20656.5	23568.22	18892.75	25439.38	32022.25	21739.98	20679.34	21760.63	25301.5	31635	26004.21	22015.98	28567.25	18717.5	29468.07	30921.25	19436.68	19319.72	12927.85	18013.11	13877.03	18911.53	20738.61	11569.39	16756.75	12551.66	25768.63	10147.89	9475.97	15001.27	12335.12	10532.33	18779.63	30008.9	14479.16	14101.68	11688.91	8643.59	25761.9	30345.63	61750.57	9396.31	48712.83	74646.58	12696.07	19979.22	16318.99	9251.69	8896.29	16783.52	17970.05	15616.3	44741.54	21670.39	18689.08	12440.19	11049.46	9036.23
ko03030	104327.96	116469.23	122604.23	145016.35	87931.76	207165.97	246996.36	405392.9	265322	104548.55	126649.95	102809.94	133548.19	75397.87	87167.25	45904.48	67751.17	78339.04	62156.97	69149.36	125228.6	95527.18	65449.31	123176.64	85105.27	81584.97	62294.28	75531.48	83361.59	143248.15	98467.84	72351.43	124281.25	80789.32	70294.95	67251.82	54045.84	60781.09	71265.79	110715.23	90549.41	175997.76	130360.91	118517.66	85533.72	91015.52	98672.27	81846.03	71875.73	67521.31	67690.67	96595.89	59692.25	69580.25	110466.22	92609.51	87784.53	117189.48	97050.35	132300.71	86005.87	96555.25	94586.8	107908.66	87501.79	93707.01	81033	84019.65	72878.75	87278.27	112647.5	79394.42	74538.6	77963.66	91353.25	111941.5	90565.97	79177.79	96485.25	80754.25	111416.78	120902.5	77971.22	77189.62	94683.39	98247.15	68833.43	101505.99	117604.07	66428.31	84653.3	53709.08	112513.33	66136.31	49143.39	62168.66	62852.03	58506.07	81659.2	138600.14	67153.58	87202.42	56950.85	56886.85	117067.84	147415.01	233127.11	50149.91	131013.11	301185	91180.03	133756.17	70394.52	50070.01	44942.85	77296.96	98025.39	71185.38	124229.38	98372.04	132018.52	65381.25	93353.84	58041.86
ko00561	66866.22	70930.86	80670.61	93333.18	67850.92	246377.8	333437.7	563551	340715.41	73554.79	74252.06	74791.53	114288.91	54948.33	63637.81	32881.95	52519.59	62989.52	41633.62	57038.87	77725.2	59460.81	40073.57	103403.78	55304.31	47605.15	42790.69	52245.93	53806.51	81936.3	61498.39	59411.77	103702.8	51616.15	48399.47	49991.42	38571.54	41314.84	47444.69	76420.35	59992.07	98685.06	77553.57	68540.2	60907.05	61786.89	68682.64	57158.2	50588.36	47809.15	48151.8	67231.29	43134.48	49833	73946.33	65347.27	65166.7	85656.66	73680.45	100777.16	67866.27	74969.11	74746.12	78813.57	60637.94	62408.86	54816.5	57689.69	50133.75	68470.57	84646.25	57219.34	58269.96	57675.93	60627	77946	64209.39	53712.88	67187.25	46560	76218.2	79185.75	48539.05	50295.45	63506.53	74481.3	48850.79	74418.6	89741.8	45402.65	58380.9	32792.53	60183.54	39694.7	29185.18	37251.8	33628.06	37704.72	69441.24	92876.17	40852.88	60262.39	34894.4	34528.27	78275.7	99621.09	132042.98	34519.87	73275.47	176001.83	61698.43	90548	54227.64	31196.74	31945.82	60366.89	62623.68	52846.54	71168.52	62490.76	89007.3	45692.15	50052.35	38942.23
ko00440	12596.34	13047.17	15949.92	17887.64	10197.24	38931.76	53686.57	93101.94	56747.45	7425.36	8296.12	9361.26	18572.22	7555.17	9007.02	5276.47	10664.72	10355.1	5061.53	7731.99	14223.85	9792.33	5893.75	7372.79	6146.01	5531.81	6988.78	6838.88	7883.64	9211.3	14708.94	11705.02	8067.74	8503.19	9784.33	8183.28	6219.52	6684.85	7910.89	14308.44	10759.67	17437.91	13807.17	11324.98	12812.01	11837.08	14512.33	12200.24	11492.67	9626.48	10672.68	13226.41	8850.77	9746.39	11942.74	13703.16	12787.74	16658.47	15131.65	21532.04	13697.23	13945.87	13784.86	16255.31	10110.92	7712.17	8891.5	10128.89	8639.25	12750.73	17176.5	11540.97	10493.29	12087.95	12109.5	16094	13996.31	11252.85	13516.75	6940.5	14424.24	15222.75	8018.51	9046.83	5184.34	9707.29	7356.36	10129.85	10902.63	4137.23	11985.26	4605.5	9134.81	4078.43	3219.95	4749.9	2993.92	4117.34	12168.82	11704.4	4950.11	5916.54	3913	3397	11098.07	14907.75	20694.01	4364.52	15739.4	23887.14	5411.02	10534.25	8010.08	3692.11	3526.81	8066.37	5637.23	8995.14	12272.3	9337.82	7374.74	6406.54	2431.97	4435.24
ko00250	163718.66	167884.58	192464.33	217143.64	153852.12	354747.35	433752.44	710363.04	464482.38	150609.45	175508.54	157772.88	223009.6	116523.04	139709.91	74242.45	117573.83	130210.24	92757.7	119574.43	208826.9	162712.19	104969.13	209780.15	123311.62	115693.54	98970.14	114739.97	135123.95	197341.82	145885.17	124526.83	193017.76	123083.38	117560.14	110886.22	90267.58	96322.84	109794.85	161896.99	144005.39	252107.73	190744.89	172296.99	144285.6	156871.67	166540.92	137653.15	119706.08	116842.3	115523.73	166685.77	103153.5	119483.76	175618.99	155835.99	150311.15	195855.96	167823.55	227181.76	148888.95	161697.9	165130.22	183809.09	138739	137908.14	133030	132866.37	118676.75	151026.91	192949.25	134169.58	130012.46	132164.93	156250	190661.5	154448.47	132654.52	167239.25	120859.5	183563.65	199995.25	126070.1	124743.32	133308.42	153597.09	108006.72	157891.43	181419.37	101061.05	121790.86	79476.37	177502.72	94067.15	69836.34	90108.87	86684.64	83992.89	144009.03	210247.37	99350.09	127667.77	81946.72	81204.41	180627.52	223675.13	393383.62	75063.02	207037	438334.48	128263.93	188129.01	113765.92	72687.18	65661.13	126543.2	137532.42	117614.95	181382.36	149066.01	186244.97	101287.51	125494.7	86281.02
ko00740	35518.04	30465.52	41607.52	43221.99	39231.82	102727.11	128555.7	213303.72	135993.18	40120.31	47169.41	43597.84	61994.46	32069.39	39114.77	19681.84	29255.51	35246.92	26153.84	31485.8	51062.3	40021.35	27090.95	56970.24	34006.15	30591.43	25656.83	31044.91	35257.21	54753.51	41065.64	33175.86	61899.26	32701.7	29237.15	29131.2	23255.37	24185.45	28103.28	34394.6	32975.73	43431.91	36254.23	33503.19	34023.36	37819.73	39538.98	32679.39	28501.02	28671.53	28037.96	40964.62	25224.35	29384.75	46315.6	38521.53	37311.89	49022.46	41259.15	55891.73	38381	40747.14	41671.05	45390.98	36458.93	37619.49	34168.5	34409.22	30261.25	37599.26	47874.25	33162.26	32717.55	32553.22	38097.75	46292.5	37360.93	32737.85	40422.75	31674.25	43543.14	50055.5	32425.36	31728.02	40884.35	44564.07	27504.06	44845.06	53124.22	29683.53	27847.98	20929.97	45394.26	27774.03	19559.48	23494.46	23954.65	23875.31	39310.15	56803.31	27674.33	37775.13	23043.96	23756.91	48009.59	57065.3	99896.28	22180.96	52957.86	121117.81	39305.35	58507.59	31731.48	20681.86	19743.32	35138.44	41276.5	31419.6	50118.5	42052.5	57747.93	29035.93	39925.92	25553.61
ko04940	12119.34	14345.67	14541.17	17605.48	10028.98	14689.34	15728.99	24065.82	17650.24	8028.23	10732.65	9356.03	13953.64	6760.22	8608.19	4394.93	7836.43	7909.5	5477.71	7468.38	14021.65	10944	6790.46	13530.34	7222.55	6220.15	6177.4	6933.34	8446.11	10704.93	7840.32	7457.01	8418.35	7551.68	7625.35	6919.22	5812.27	6013.6	6508.92	11952.02	10177.14	22014.33	15885.14	13988.03	10102.84	10813.33	11631.33	9621.16	8324.67	7869.07	7818.72	11253.56	6982.17	7962.21	11383.28	10400.79	10082.66	13058.89	11376.1	15425.44	9743.5	10013.53	10984.7	12354.64	9250.51	9083.66	8978.5	8124.63	7972.5	10232.93	13026.75	9083.43	8820.89	8968.35	10577	13072.5	10505.6	8789.19	11457.5	7745.5	12671.66	13332	8294.34	8211.5	8018.17	9564.3	7064.85	9796.52	11477.8	6271.32	9964.2	5132.99	11711.65	5472.87	3965.51	5260.67	4932.78	4765.66	9406.34	12274.67	5803.91	7718.87	4976.78	4779.63	12058.9	13934.36	26079.58	4440.75	13775.47	28689.14	7757.51	11381.79	7145.58	4174.1	3797.61	7711.96	8501.31	7445.99	10503.16	9468.03	11373.36	6161.25	7412.48	5210.4
